Station ,Served By Subway Lines,Y2011Ridership,Y2012Ridership,Y2013Ridership,Y2014Ridership,Y2015Ridership,Y2016Ridership,2015-2016 Change,Percentage,2016 Rank,Borough
Carroll St ,"IND Culver Line (F,G)","3,598,477","3,961,111","3,782,675","3,616,947","3,672,702","3,563,150","-109,552",-3.00%,144,Brooklyn
Central Av ,BMT Myrtle Ave Line (M),"890,194","992,142","505,757","970,531","1,141,731","1,158,274","16,543",1.40%,341,Brooklyn
Chauncey St ,"BMT Jamaica Line(J,M,Z)","966,989","964,735","938,803","959,091","1,045,698","1,092,483","46,785",4.50%,349,Brooklyn
Church Av ,"IRT Nostrand Ave Line (2,5)","3,057,877","2,987,887","3,059,215","3,020,066","3,070,551","3,027,658","-42,893",-1.40%,171,Brooklyn
Church Av ,"BMT Brighton Line (B,Q)","4,665,059","4,982,615","5,603,898","5,482,093","5,707,573","5,438,775","-268,798",-4.70%,81,Brooklyn
Church Av ,"IND Culver Line (F,G)","3,271,729","3,081,142","3,193,844","3,201,585","3,353,795","3,315,387","-38,408",-1.10%,155,Brooklyn
Clark St ,"IRT 7th Ave Line (2,3)","1,754,204","1,855,650","1,972,314","2,018,876","1,997,148","2,000,024","2,876",0.10%,252,Brooklyn
Classon Av ,IND Crosstown Line (G),"1,308,232","1,355,886","1,432,872","1,477,256","1,604,508","1,581,663","-22,845",-1.40%,298,Brooklyn
Cleveland St ,BMT Jamaica Line(J),"1,002,848","1,029,708","1,050,261","1,107,397","1,120,403","1,104,683","-15,720",-1.40%,345,Brooklyn
Clinton-Washington Avs ,"IND Fulton Street Line (A,C) ","1,819,542","1,891,559","2,104,035","2,077,312","2,060,200","2,152,345","92,145",4.50%,227,Brooklyn
Clinton-Washington Avs ,IND Crosstown Line (G),"1,628,558","1,637,463","1,678,004","1,652,336","1,716,023","1,656,058","-59,965",-3.50%,288,Brooklyn
Coney Island-Stillwell Av ,BMT West End Line (D) & IND Culver Line (F) & BMT Sea Beach Line (N) & BMT Brighton Line (Q),"4,649,438","4,733,106","4,690,794","4,980,140","5,132,083","5,025,598","-106,485",-2.10%,94,Brooklyn
Cortelyou Rd ,BMT Brighton Line (Q),"2,135,444","1,992,781","1,700,177","1,806,758","1,961,144","1,978,254","17,110",0.90%,255,Brooklyn
Court St/Borough Hall ,"IRT 7th Ave Line (2,3) & IRT Eastern Parkway Line (4,5) & BMT 4th Ave Line (M,N,R,W)","11,115,037","10,988,473","11,291,705","11,474,717","11,360,058","11,080,334","-279,724",-2.50%,27,Brooklyn
Crescent St ,"BMT Jamaica Line(J,Z)","1,514,075","1,504,645","1,509,290","1,583,134","1,626,727","1,617,730","-8,997",-0.60%,294,Brooklyn
Crown Heights-Utica Av ,"IRT Eastern Parkway Line (2,3,4,5)","8,438,284","8,469,613","8,534,705","8,690,082","8,965,908","9,051,970","86,062",1.00%,36,Brooklyn
Cypress Hills ,BMT Jamaica Line(J),"435,446","411,495","432,557","450,480","452,936","462,143","9,207",2.00%,407,Brooklyn
DeKalb Av ,"BMT Brighton Line (B,Q) & BMT 4th Ave Line (D,M,N,R,W)", ,"5,222,096","5,223,608","5,288,037","5,373,388","5,640,329","266,941",5.00%,78,Brooklyn
DeKalb Av ,BMT Canarsie Line (L),"3,382,468","3,495,896","3,712,102","3,924,836","3,938,538","4,017,076","78,538",2.00%,128,Brooklyn
Ditmas Av ,BMT Culver Line (F),"1,392,790","1,404,811","1,455,737","1,437,835","1,033,946","1,055,185","21,239",2.10%,355,Brooklyn
East 105 St ,BMT Canarsie Line (L),"1,101,683","1,110,433","1,161,688","1,197,125","1,187,844","1,201,578","13,734",1.20%,337,Brooklyn
